naziv_pu,opis_delovnega_mesta_z370opis,sifra_zaposlenega_z360,mesecev,placa,polozajni_dodatek,delovna_uspesnost,dodatno_delo,dezurstvo,dodatek_mentorstvo_c030bruto,dodatek_mag_dr_c040bruto,dodatek_dvojezicnost_c050bruto,dodatek_dvojezicnost_c051bruto,dodatek_dvojezicnost_c052bruto,dodatek_ionizirajoce_sevanje_c060bruto,dodatek_citostatiki_c061bruto,dodatek_kuzni_odpadki_c062bruto,dodatek_nevarnost_c070bruto,dodatek_izmensko_delo_c080bruto,dodatek_deljeni_del_cas_c090bruto,dodatek_delo_ponoci_c100bruto,dodatek_delo_v_nedeljo_c110bruto,dodatek_dela_prost_dan_c111bruto,dodatek_dela_prost_dan_c112bruto,dodatek_delo_prek_polnega_casa_c120bruto,dodatek_stalna_pripravljenost_c130bruto,dodatek_pripravljenost_na_domu_c140bruto,dodatek_za_stalnost_c150bruto,dodatek_povecan_obseg_dela_c160bruto,dodatek_povecan_obseg_dela_c170bruto,dodatek_posebne_obremenitve_c180bruto,dodatek_neenakomerno_razporejen_delovni_cas_c190bruto,dodatek_neenakomerno_razporejen_delovni_cas_c191bruto,dodatek_specialna_enota_c200bruto,dodatek_specialna_enota_c201bruto,dodatek_za_potapljanje_c202bruto,dodatek_za_potapljanje_intervencija_c203bruto,dodatek_poucevanje_3_predmetov_c204bruto,dodatek_razrednistvo_c205bruto,dodatek_razrednistvo_c206bruto,dodatek_vrtci_c207bruto,dodatek_vrtci_c208bruto,dodatek_bolnisnicni_oddelek_c209bruto,dodatek_prilagojeni_program_c210bruto,dodatek_prilagojeni_program_c211bruto,dodatek_prilagojeni_program_c212bruto,dodatek_prilagojeni_program_c213bruto,dodatek_prilagojeni_program_c214bruto,dodatek_delo_z_osebami_z_motnjo_c215bruto,dodatek_delo_z_osebami_z_motnjo_c216bruto,dodatek_delo_z_osebami_z_motnjo_c217bruto,dodatek_delo_z_osebami_z_motnjo_c218bruto,dodatek_visina_2_4_m_c219bruto,dodatek_visina_4_20_m_c220bruto,dodatek_visina_nad_20_m_c221bruto,dodatek_globina_c222bruto,dodatek_tvegane_razmere_c223bruto,dodatek_helikopter_c224bruto,dodatek_delo_z_osebami_z_motnjo_nadzor_c225bruto,dodatek_ogled_kd_c300bruto,dodatek_omejitev_pravice_do_stavke_c320bruto,dodatek_za_dosegljivost_c321bruto,dodatek_premestljive_sile_c322bruto,dodatek_odzivne_sile_c323bruto,dodatek_usposabljanje_c324bruto,dodatek_mobilnost_c390bruto,dodatek_izgradnja_kariere_c400bruto,dodatek_poracun_c900bruto,sifra_pu,skupina_dm,sifra_delovnega_mesta_z370,leto_obdobja
2. OSNOVNA ŠOLA SLOVENSKA BISTRICA,RAVNATELJ OSNOVNE ŠOLE,3032502230040372910,12,23635.27,0,572.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72915,B,B017316,2012
AGENCIJA REPUBLIKE SLOVENIJE ZA JAVNOPRAVNE EVIDENCE IN STORITVE,DIREKTOR AGENCIJE,14236527209667539937,12,39193.81,0,0,0,0,0,691.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16411,B,B017392,2012
AGENCIJA REPUBLIKE SLOVENIJE ZA KMETIJSKE TRGE IN RAZVOJ PODEŽELJA,DIREKTOR/INŠPEKTOR ORGANA V SESTAVI MINISTRSTVA,3398483047320518446,3,11334.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23183,B,B017102,2012
AGENCIJA REPUBLIKE SLOVENIJE ZA KMETIJSKE TRGE IN RAZVOJ PODEŽELJA,DIREKTOR/INŠPEKTOR ORGANA V SESTAVI MINISTRSTVA,3700267941634908005,3,8561.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23183,B,B017102,2012
AGENCIJA ZA ENERGIJO,DIREKTOR AGENCIJE,7277293687257928616,12,39071.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21644,B,B017392,2012
AGENCIJA ZA ENERGIJO,NAMESTNIK DIREKTORJA/ČLANA UPRAVE,15664217756119600987,12,41572.34,0,0,0,0,0,829.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21644,B,B017398,2012
AGENCIJA ZA ENERGIJO,STROKOVNI DIREKTOR/STROKOVNI VODJA,6976490404022482697,12,36349.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21644,B,B017399,2012
AGENCIJA ZA JAVNI NADZOR NAD REVIDIRANJEM,DIREKTOR AGENCIJE,16142726695479813881,12,40503.35,0,0,0,0,0,717.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16535,B,B017392,2012
AGENCIJA ZA JAVNI NADZOR NAD REVIDIRANJEM,POMOČNIK DIREKTORJA,9472594006552930939,12,29238.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16535,B,B017400,2012
AGENCIJA ZA JAVNI NADZOR NAD REVIDIRANJEM,POMOČNIK DIREKTORJA,13673794959415480843,12,33422.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16535,B,B017400,2012
AGENCIJA ZA KOMUNIKACIJSKA OMREŽJA IN STORITVE REPUBLIKE SLOVENIJE,DIREKTOR AGENCIJE,14619701485824150668,12,42497.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28401,B,B017392,2012
AGENCIJA ZA ŠPORT NOVO MESTO,DIREKTOR JAVNEGA ZAVODA,6063690134732215683,7,15763.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72222,B,B017390,2012
AGENCIJA ZA ŠPORT NOVO MESTO,DIREKTOR JAVNEGA ZAVODA S PODROČJA ŠPORTA,6063690134732215683,5,11599.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72222,B,B017810,2012
AGENCIJA ZA TRG VREDNOSTNIH PAPIRJEV,DIREKTOR AGENCIJE,8615169147542659789,12,44065.89,0,15296.29,0,0,0,1234.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16420,B,B017392,2012
AGENCIJA ZA TRG VREDNOSTNIH PAPIRJEV,NAMESTNIK DIREKTORJA/ČLANA UPRAVE,3343121390457742786,10,29038.88,0,14142.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16420,B,B017398,2012
AGENCIJA ZA TRG VREDNOSTNIH PAPIRJEV,NAMESTNIK DIREKTORJA/ČLANA UPRAVE,6889614794155957438,12,39139.08,0,4378.83,0,0,0,720.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16420,B,B017398,2012
AGENCIJA ZA TRG VREDNOSTNIH PAPIRJEV,NAMESTNIK DIREKTORJA/ČLANA UPRAVE,11425770022561471175,12,38566.52,0,14142.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16420,B,B017398,2012
AGENCIJA ZA TRG VREDNOSTNIH PAPIRJEV,POMOČNIK DIREKTORJA,2174067272034438275,12,32364.92,0,12572.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16420,B,B017400,2012
AGENCIJA ZA TRG VREDNOSTNIH PAPIRJEV,POMOČNIK DIREKTORJA,6410102221407892106,12,32212.61,0,12572.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16420,B,B017400,2012
AGENCIJA ZA TRG VREDNOSTNIH PAPIRJEV,POMOČNIK DIREKTORJA,7785407774092329822,12,34478.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16420,B,B017400,2012
AGENCIJA ZA TRG VREDNOSTNIH PAPIRJEV,POMOČNIK DIREKTORJA,7806159395682553842,2,5011.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16420,B,B017400,2012
AGENCIJA ZA TRG VREDNOSTNIH PAPIRJEV,POMOČNIK DIREKTORJA,8394292825489604017,12,33851.45,0,6286.2,0,0,0,700.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16420,B,B017400,2012
AGENCIJA ZA TRG VREDNOSTNIH PAPIRJEV,POMOČNIK DIREKTORJA,12435449330935492093,12,30127.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16420,B,B017400,2012
AGENCIJA ZA TRG VREDNOSTNIH PAPIRJEV,POMOČNIK DIREKTORJA,16298432121946750949,4,12536.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16420,B,B017400,2012
AGENCIJA ZA UPRAVLJANJE KAPITALSKIH NALOŽB REPUBLIKE SLOVENIJE,NAMESTNIK DIREKTORJA/ČLAN UPRAVE,431763365699094698,3,8143.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13161,B,B017890,2012
AGENCIJA ZA UPRAVLJANJE KAPITALSKIH NALOŽB REPUBLIKE SLOVENIJE,NAMESTNIK DIREKTORJA/ČLAN UPRAVE,2095335785523569653,7,25611.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13161,B,B017890,2012
AGENCIJA ZA UPRAVLJANJE KAPITALSKIH NALOŽB REPUBLIKE SLOVENIJE,NAMESTNIK DIREKTORJA/ČLAN UPRAVE,11451571890055080970,6,17913.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13161,B,B017890,2012
AGENCIJA ZA UPRAVLJANJE KAPITALSKIH NALOŽB REPUBLIKE SLOVENIJE,NAMESTNIK DIREKTORJA/ČLAN UPRAVE,13178511056935831676,7,24925.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13161,B,B017890,2012
AGENCIJA ZA UPRAVLJANJE KAPITALSKIH NALOŽB REPUBLIKE SLOVENIJE,POMOČNIK DIREKTORJA,65175418261418697,12,33704.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13161,B,B017400,2012
AGENCIJA ZA UPRAVLJANJE KAPITALSKIH NALOŽB REPUBLIKE SLOVENIJE,POMOČNIK DIREKTORJA,4030677453192886244,12,35063.63,0,0,0,0,0,724.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13161,B,B017400,2012
AGENCIJA ZA UPRAVLJANJE KAPITALSKIH NALOŽB REPUBLIKE SLOVENIJE,POMOČNIK DIREKTORJA,5282340241820372126,12,34330.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13161,B,B017400,2012
AGENCIJA ZA UPRAVLJANJE KAPITALSKIH NALOŽB REPUBLIKE SLOVENIJE,POMOČNIK DIREKTORJA,7530704012090691530,12,33143.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13161,B,B017400,2012
